outlet_name_mbfc,url_mbfc,bias_mbfc,factual_reporting_mbfc,country_mbfc,credibility_mbfc,url_cleaned
Accuracy in Academia (AIA,https://mediabiasfactcheck.com/accuracy-in-academia-aia,Right,Mixed,US,Medium,academia.org
Accuracy in Media,https://mediabiasfactcheck.com/accuracy-in-media-aim,Right,Mixed,US,Medium,aim.org
Ace Flashman,https://mediabiasfactcheck.com/ace-flashman,Satire,,US,,aceflashman.wordpress.com/about
ACHNews,https://mediabiasfactcheck.com/achnews,Left,Mostly Factual,US,Medium,achrnews.com
ACLU,https://mediabiasfactcheck.com/american-civil-liberties-union-aclu,Center-Left,Mixed,US,Medium,aclu.org
ACN Latitudes,https://mediabiasfactcheck.com/acn-latitudes,Conspiracy-Pseudoscience,Mixed,US,Low,latitudes.org
Act.TV,https://mediabiasfactcheck.com/act-tv,Left,Mostly Factual,US,Medium,act.tv
Acting Man,https://mediabiasfactcheck.com/acting-man,Questionable,Mixed,US,Low,acting-man.com
ActionNewsJax.com,https://mediabiasfactcheck.com/actionnewsjax-com,Center,High,US,High,actionnewsjax.com
Activist Mommy/Elizabeth Johnston,https://mediabiasfactcheck.com/activist-mommy,Questionable,Low,US,Low,elizabethjohnston.org
Acton Institute,https://mediabiasfactcheck.com/acton-institute,Right,Mixed,US,Medium,acton.org
Ad Fontes Media,https://mediabiasfactcheck.com/all-generalizations-are-false-ad-fontes-media,Center,High,US,High,adfontesmedia.com
Ada Reporter,https://mediabiasfactcheck.com/ada-reporter,Questionable,Mixed,US,Low,adareporter.com
Adams County Times,https://mediabiasfactcheck.com/adams-county-times,Questionable,Mixed,US,Low,adamscountytimes.com
Addicting Info,https://mediabiasfactcheck.com/addicting-info,Left,Mixed,US,Medium,addictinginfo.com
ADDitude Magazine,https://mediabiasfactcheck.com/additude-magazine,Conspiracy-Pseudoscience,Mixed,US,Low,additudemag.com
Adobo Chronicles,https://mediabiasfactcheck.com/the-adobo-chronicles,Satire,,US,,adobochronicles.com
Advocates for Self-Government,https://mediabiasfactcheck.com/advocates-for-self-government,Center-Right,Mostly Factual,US,Medium,theadvocates.org
ADW News,https://mediabiasfactcheck.com/adw-news,Conspiracy-Pseudoscience,Mixed,US,Low,adwnews.com
Adweek,https://mediabiasfactcheck.com/adweek,Center,High,US,High,adweek.com
Affinity Magazine,https://mediabiasfactcheck.com/affinity-magazine,Center-Left,Mixed,US,Medium,affinitymagazine.us
Against Crony Capitalism,https://mediabiasfactcheck.com/against-crony-capitialism,Right,Mostly Factual,US,Medium,ac2news.com
AgDaily,https://mediabiasfactcheck.com/agdaily,Center,High,US,High,agdaily.com
Age of Autism,https://mediabiasfactcheck.com/age-of-autism,Conspiracy-Pseudoscience,Low,US,Low,ageofautism.com
Age of Shitlords,https://mediabiasfactcheck.com/age-of-shitlords,Questionable,Low,US,Low,ageofshitlords.com
AgWeb,https://mediabiasfactcheck.com/agweb,Center,High,US,High,agweb.com
Air and Space Mag,https://mediabiasfactcheck.com/air-space-magazine,Pro-Science,Very High,US,High,smithsonianmag.com/category/air-space-magazine
Air Force Times,https://mediabiasfactcheck.com/air-force-times,Center,High,US,High,airforcetimes.com
Aish.com,https://mediabiasfactcheck.com/aish-com,Right,Mixed,US,Medium,aish.com
Akkadian Times,https://mediabiasfactcheck.com/akkadian-times,Left,High,US,High,akkadiantimes.com
Akron Beacon Journal,https://mediabiasfactcheck.com/akron-beacon-journal,Center-Left,High,US,High,beaconjournal.com
Al DIA,https://mediabiasfactcheck.com/al-dia,Left,Mixed,US,Medium,aldianews.com
Al Monitor,https://mediabiasfactcheck.com/al-monitor,Center-Left,High,US,High,al-monitor.com
Al-Sura,https://mediabiasfactcheck.com/al-sura,Center-Left,Mixed,US,Medium,al-sura.com
Al.com (Alabama News,https://mediabiasfactcheck.com/al-com-alabama-news,Center-Right,High,US,High,al.com
Alabama Observer,https://mediabiasfactcheck.com/alabama-observer,Questionable,Low,US,Low,observer.com/tag/alabama
Alabama Political Reporter,https://mediabiasfactcheck.com/alabama-political-reporter,Center,High,US,High,alreporter.com
Alabama Today,https://mediabiasfactcheck.com/alabama-today,Center-Right,Mostly Factual,US,High,altoday.com
Alan Guttmacher Institute,https://mediabiasfactcheck.com/alan-guttmacher-institute,Center-Left,High,US,High,guttmacher.org
Alaska Dispatch News,https://mediabiasfactcheck.com/alaska-dispatch-news,Center-Left,High,US,High,adn.com
Albany Democrat-Herald,https://mediabiasfactcheck.com/albany-democrat-herald,Center,High,US,High,democratherald.com
Albany Standard,https://mediabiasfactcheck.com/albany-standard,Questionable,Mixed,US,Low,albanystandard.com
Albany Times-Union,https://mediabiasfactcheck.com/albany-times-union,Center-Left,High,US,High,timesunion.com
Albuquerque Journal,https://mediabiasfactcheck.com/albuquerque-journal,Center-Right,High,US,High,abqjournal.com
All News Pipeline,https://mediabiasfactcheck.com/all-news-pipeline,Questionable,Low,US,Low,allnewspipeline.com
All That's Fab,https://mediabiasfactcheck.com/all-thats-fab,Left,Mixed,US,Medium,allthatsfab.com
Allen B. West,https://mediabiasfactcheck.com/allen-b-west,Right,Mixed,US,Medium,washingtontimes.com/topics/allen-b-west
Allen West Republic,https://mediabiasfactcheck.com/allen-west-republic,Questionable,Low,US,Low,greatamericanrepublic.com
AllGov,https://mediabiasfactcheck.com/allgov,Center-Left,High,US,High,allgov.com
Alliance Defending Freedom,https://mediabiasfactcheck.com/alliance-defending-freedom,Questionable,Low,US,Low,adflegal.org
Natural Health Response,https://mediabiasfactcheck.com/alliance-advanced-health,Conspiracy-Pseudoscience,Mixed,US,Low,naturalhealthresponse.com
Alliance for Justice (AFJ,https://mediabiasfactcheck.com/alliance-for-justice-afj,Left,High,US,High,afj.org
Alliance for Natural Health (ANH-USA,https://mediabiasfactcheck.com/alliance-for-natural-health-bias-junk-science,Conspiracy-Pseudoscience,Mixed,US,Low,anh-usa.org
Alliance for Science,https://mediabiasfactcheck.com/alliance-for-science,Pro-Science,High,US,High,allianceforscience.org
Alliance For Securing Democracy,https://mediabiasfactcheck.com/alliance-securing-democracy,Center,High,US,High,securingdemocracy.gmfus.org
Allied Progress,https://mediabiasfactcheck.com/allied-progress,Center-Left,High,US,High,alliedprogress.org
Aloha State News,https://mediabiasfactcheck.com/aloha-state-news,Questionable,Mixed,US,Low,alohastatenews.com
Alpha News,https://mediabiasfactcheck.com/alpha-news,Questionable,Low,US,Low,alphanews.org
Alt-Market,https://mediabiasfactcheck.com/alt-market,Conspiracy-Pseudoscience,Mixed,US,Low,alt-market.com
Alt-Right TV,https://mediabiasfactcheck.com/alt-right-tv,Questionable,Low,US,Low,altrighttv.com
Alternative Daily,https://mediabiasfactcheck.com/alternative-daily-bias,Conspiracy-Pseudoscience,Low,US,Low,thealternativedaily.com
Alternative Facts,https://mediabiasfactcheck.com/alternative-facts,Satire,,US,,alternativelyfacts.com
Alternative Media Television (AMTV,https://mediabiasfactcheck.com/alternative-media-television-amtv,Conspiracy-Pseudoscience,Low,US,Low,amtvmedia.com
Alternative News Network,https://mediabiasfactcheck.com/alternative-news-network,Conspiracy-Pseudoscience,Mixed,US,Low,alternativenewsnetwork.net
Alternative Science,https://mediabiasfactcheck.com/alternative-science,Satire,,US,,alternative-science.com
AlternativeNews.com,https://mediabiasfactcheck.com/alternativenews-com,Conspiracy-Pseudoscience,Low,US,Low,alternativenews.com
Alternet,https://mediabiasfactcheck.com/alternet,Left,Mixed,US,Medium,alternet.org
AltHealth Works,https://mediabiasfactcheck.com/althealth-works,Conspiracy-Pseudoscience,Low,US,Low,althealthworks.com
AltLeft.News,https://mediabiasfactcheck.com/altleft-news-bias,Conspiracy-Pseudoscience,Very Low,US,Low,altleft.news
AltRight.com,https://mediabiasfactcheck.com/altright-com,Questionable,Low,US,Low,altright.com
AM New York,https://mediabiasfactcheck.com/am-new-york,Center-Left,High,US,High,amny.com
AMAC (Association of Mature American Citizens,https://mediabiasfactcheck.com/amac-association-of-mature-american-citizens,Right,Mixed,US,Medium,amac.us
Amarillo Globe-News,https://mediabiasfactcheck.com/amarillo-globe-news,Center,High,US,High,amarillo.com
America Blog,https://mediabiasfactcheck.com/americablog,Left,High,US,High,americablog.com
America Daily,https://mediabiasfactcheck.com/america-daily,Questionable,Mixed,US,Low,americadaily.com
America First Action SuperPAC,https://mediabiasfactcheck.com/america-first-action-superpac,Right,Mixed,US,Medium,a1apac.org
America Magazine,https://mediabiasfactcheck.com/america-magazine,Center-Left,High,US,High,americamagazine.org
America Max News,https://mediabiasfactcheck.com/america-max-news,Questionable,Low,US,Low,americamaxnews.com
America Rising PAC,https://mediabiasfactcheck.com/america-rising-pac,Right,Mixed,US,Medium,americarisingpac.org
America Talks with David Zublick,https://mediabiasfactcheck.com/america-talks-with-david-zublick-bias-credibility-rating,Questionable,Very Low,US,Low,americatalks.com
America's Frontline Doctors,https://mediabiasfactcheck.com/americas-frontline-doctors,Conspiracy-Pseudoscience,Low,US,Low,americasfrontlinedoctors.org
America's Last Line of Defense,https://mediabiasfactcheck.com/the-resistance-the-last-line-of-defense,Satire,,US,,americaslastlineofdefense.com
America's News Source,https://mediabiasfactcheck.com/americas-news-source,Questionable,Very Low,US,Low,americasnewssource.com
America's Voice,https://mediabiasfactcheck.com/americas-voice,Left,Mostly Factual,US,High,americasvoice.org
American Academy of Pediatrics,https://mediabiasfactcheck.com/american-academy-of-pediatrics,Pro-Science,Very High,US,High,aap.org
American Action Forum,https://mediabiasfactcheck.com/american-action-forum,Center-Right,Mostly Factual,US,Medium,americanactionforum.org
American Action News,https://mediabiasfactcheck.com/american-action-news,Questionable,Mixed,US,Low,americanactionnews.com
American Affairs Journal,https://mediabiasfactcheck.com/american-affairs-journal,Center-Right,High,US,High,americanaffairsjournal.org
American association for the advancement of science,https://mediabiasfactcheck.com/american-association-for-the-advancement-of-science-aaas,Pro-Science,Very High,US,High,aaas.org
American Bridge 21st Century,https://mediabiasfactcheck.com/american-bridge-21st-century,Left,Mixed,US,Medium,americanbridgepac.org
American Cancer Society,https://mediabiasfactcheck.com/american-cancer-society-bias,Pro-Science,Very High,US,High,cancer.org
American Center for Law & Justice (ACLJ,https://mediabiasfactcheck.com/american-center-law-justice-aclj,Right,Mixed,US,Medium,aclj.org
American College of Pediatricians,https://mediabiasfactcheck.com/american-college-of-pediatricians,Questionable,Mixed,US,Low,acpeds.org
American Consequences,https://mediabiasfactcheck.com/american-consequences,Right,Mixed,US,Medium,americanconsequences.com
American Conservative Media,https://mediabiasfactcheck.com/american-conservative-media,Questionable,Mixed,US,Low,americanconservativemedia.com
American Conservative Movement (ACM,https://mediabiasfactcheck.com/american-conservative-movement-acm,Questionable,Low,US,Low,americanconservativemovement.com
American Conservative Union (ACU,https://mediabiasfactcheck.com/american-conservative-union-acu-bias,Right,Mixed,US,Medium,conservative.org
American Council on Science and Health (ACSH,https://mediabiasfactcheck.com/american-council-on-science-and-health,Center-Right,High,US,High,acsh.org
American Digital News,https://mediabiasfactcheck.com/american-digital-news,Conspiracy-Pseudoscience,Mixed,US,Low,americandigitalnews.com
American Enterprise Institute,https://mediabiasfactcheck.com/american-enterprise-institute,Right,Mixed,US,Medium,aei.org
American Family Association,https://mediabiasfactcheck.com/american-family-association,Questionable,Low,US,Low,afa.net
American Family News,https://mediabiasfactcheck.com/onenewsnow,Questionable,Low,US,Low,afn.net
American Firearms Institute,https://mediabiasfactcheck.com/american-firearms-institute,Center-Right,High,US,High,americanfirearms.org
American Foreign Policy council,https://mediabiasfactcheck.com/american-foreign-policy-council,Right,Mostly Factual,US,Medium,afpc.org
American Free Press,https://mediabiasfactcheck.com/american-free-press,Conspiracy-Pseudoscience,Low,US,Low,americanfreepress.net
American Geophysical Union (AGU,https://mediabiasfactcheck.com/american-geophysical-union-agu,Pro-Science,Very High,US,High,agu.org
American Greatness,https://mediabiasfactcheck.com/american-greatness,Right,Mixed,US,Medium,amgreatness.com
American Gulag,https://mediabiasfactcheck.com/american-gulag,Questionable,Very Low,US,Low,americangulag.org
American Heritage,https://mediabiasfactcheck.com/american-heritage,Center,High,US,High,americanheritage.com
American Immigration Council,https://mediabiasfactcheck.com/american-immigration-council,Center-Left,High,US,High,americanimmigrationcouncil.org
American Institute for Economic Research,https://mediabiasfactcheck.com/american-institute-for-economic-research,Center-Right,Mixed,US,Medium,aier.org
American Institute of of Physics,https://mediabiasfactcheck.com/the-american-institute-of-physics,Pro-Science,Very High,US,High,aip.org
American Intelligence Media,https://mediabiasfactcheck.com/american-intelligence-media,Conspiracy-Pseudoscience,Very Low,US,Low,aim4truth.org
American Intelligence Report,https://mediabiasfactcheck.com/american-intelligence-report,Conspiracy-Pseudoscience,Mixed,US,Low,americanintelligencereport.com
American Journal Daily,https://mediabiasfactcheck.com/american-journal-daily-bias,Right,Mixed,US,Medium,americanjournaldaily.com
American Journal of Archaeology,https://mediabiasfactcheck.com/american-journal-of-archaeology,Pro-Science,Very High,US,High,ajaonline.org
American Journal of Public Health (AJPH,https://mediabiasfactcheck.com/american-journal-of-public-health-ajph,Pro-Science,Very High,US,High,ajph.aphapublications.org
American Journal Review,https://mediabiasfactcheck.com/american-journal-review,Questionable,Low,US,Low,americanjournalreview.com
American Lampoon,https://mediabiasfactcheck.com/american-lampoon,Satire,,US,,harvardlampoon.com
American Legislative Exchange Council (ALEC,https://mediabiasfactcheck.com/american-legislative-exchange-council-alec,Right,Mixed,US,Medium,alec.org
American Liberty Report,https://mediabiasfactcheck.com/american-liberty-report,Questionable,Low,US,Low,americanlibertyemail.com
American Lookout,https://mediabiasfactcheck.com/american-lookout,Questionable,Low,US,Low,americanlookout.com
American Lung Association,https://mediabiasfactcheck.com/american-lung-association,Pro-Science,High,US,High,lung.org
American Medical Association (AMA,https://mediabiasfactcheck.com/american-medical-association-ama,Pro-Science,High,US,High,ama-assn.org
American Military News,https://mediabiasfactcheck.com/american-military-news,Center-Right,Mostly Factual,US,High,americanmilitarynews.com
American News 24/7,https://mediabiasfactcheck.com/american-news-24-7,Right,Mixed,US,Medium,americandailynews.org
American News Hub,https://mediabiasfactcheck.com/american-news-hub,Right,Mixed,US,Low,americanewshub.com
American Oversight,https://mediabiasfactcheck.com/american-oversight,Left,Mostly Factual,US,Medium,americanoversight.org
American Patriot Daily,https://mediabiasfactcheck.com/american-patriot-daily,Questionable,Mixed,US,Low,americanpatriotdaily.com
American People Daily,https://mediabiasfactcheck.com/american-people-daily,Questionable,Low,US,Low,americanpeopledaily.com
American Physical Society (APS,https://mediabiasfactcheck.com/american-physical-society-aps,Pro-Science,Very High,US,High,aps.org
American Policy Center,https://mediabiasfactcheck.com/american-policy-center,Conspiracy-Pseudoscience,Low,US,Low,americanpolicy.org
American Press Institute (API,https://mediabiasfactcheck.com/american-press-institute-api,Center,Very High,US,High,americanpressinstitute.org
American Principles Project,https://mediabiasfactcheck.com/american-principles-project,Questionable,Low,US,Low,americanprinciplesproject.org
American Psychoanalytic Association,https://mediabiasfactcheck.com/american-psychoanalytic-association,Pro-Science,Very High,US,High,apsa.org
American Psychological Association,https://mediabiasfactcheck.com/american-psychological-association-apa,Pro-Science,Very High,US,High,apa.org
American Public Media,https://mediabiasfactcheck.com/american-public-media,Center-Left,High,US,High,americanpublicmedia.org
American Purpose,https://mediabiasfactcheck.com/american-purpose,Center-Left,High,US,High,americanpurpose.com
American Renaissance Magazine,https://mediabiasfactcheck.com/american-renaissance-magazine,Questionable,Low,US,Low,amren.com
American Scientist,https://mediabiasfactcheck.com/american-scientist,Pro-Science,Very High,US,High,americanscientist.org
American Society for the Defense of Tradition Family and Property,https://mediabiasfactcheck.com/american-society-defense-tradition-family-property,Questionable,Low,US,Low,tfp.org
American Spectator,https://mediabiasfactcheck.com/american-spectator,Right,Mixed,US,Medium,spectator.org
American Thinker,https://mediabiasfactcheck.com/american-thinker,Questionable,Low,US,Low,americanthinker.com
American Today,https://mediabiasfactcheck.com/american-today,Questionable,Low,US,Low,americantoday.news
American Truth Today,https://mediabiasfactcheck.com/american-truth-today,Questionable,Low,US,Low,americantruthtoday.com
American Web Media (AWM,https://mediabiasfactcheck.com/american-web-media-awm,Questionable,Mixed,US,Low,awm.com
Americans Against the Tea Party (AATTP,https://mediabiasfactcheck.com/americans-against-the-tea-party-aattp,Questionable,Low,US,Low,aattp.org
Americans for Prosperity,https://mediabiasfactcheck.com/americans-for-prosperity,Center-Right,Mixed,US,Medium,americansforprosperity.org
Americans for Tax Reform (ATR,https://mediabiasfactcheck.com/americans-for-tax-reform,Right,Mixed,US,Medium,atr.org
Americans for Truth,https://mediabiasfactcheck.com/americans-for-truth-aftah,Questionable,Very Low,US,Low,americansfortruth.com
Americans United for Separation of Church and State,https://mediabiasfactcheck.com/american-united-separation-church-state,Left,High,US,High,au.org
Americas Freedom Fighters,https://mediabiasfactcheck.com/american-freedom-fighters,Questionable,Low,US,Low,americasfreedomfighters.com
Americas Quarterly,https://mediabiasfactcheck.com/americas-quarterly,Center-Right,High,US,High,americasquarterly.org
Ames Today,https://mediabiasfactcheck.com/ames-today-bias,Questionable,Mixed,US,Low,amestoday.com
Ami Magazine,https://mediabiasfactcheck.com/ami-magazine,Right,Mostly Factual,US,Medium,amimagazine.org
Ammoland,https://mediabiasfactcheck.com/ammoland,Right,Mostly Factual,US,High,ammoland.com
Analyzing America,https://mediabiasfactcheck.com/analyzing-america,Questionable,Mixed,US,Low,analyzingamerica.org
Anchorage Daily News,https://mediabiasfactcheck.com/anchorage-daily-news,Center,High,US,High,adn.com
Anchorage Press,https://mediabiasfactcheck.com/anchorage-press-bias,Center-Right,High,US,High,anchoragepress.com
Anderson Institute,https://mediabiasfactcheck.com/anderson-institute,Conspiracy-Pseudoscience,Mixed,US,Low,andersoninstitute.com
Anderson Reporter,https://mediabiasfactcheck.com/anderson-reporter,Questionable,Mixed,US,Low,andersonreporter.com
Anewspost.com,https://mediabiasfactcheck.com/anewspost-com,Conspiracy-Pseudoscience,Mixed,US,Low,anewspost.com
Angry White Men,https://mediabiasfactcheck.com/angry-white-men,Left,Mixed,US,Medium,angrywhitemen.org
Anniston Star,https://mediabiasfactcheck.com/anniston-star,Center-Left,High,US,High,annistonstar.com
Answers in Genesis,https://mediabiasfactcheck.com/answers-in-genesis,Conspiracy-Pseudoscience,Low,US,Low,answersingenesis.org
Antelope Valley Today,https://mediabiasfactcheck.com/antelope-valley-today,Questionable,Mixed,US,Low,antelopevalleytoday.com
Anthropocene Magazine,https://mediabiasfactcheck.com/conservation-magazine,Left,High,US,High,anthropocenemagazine.org
Anti News Network,https://mediabiasfactcheck.com/anti-news-network,Conspiracy-Pseudoscience,Mixed,US,Low,vox.com
Anti-Defamation League (ADL,https://mediabiasfactcheck.com/anti-defamation-league,Center-Left,High,US,High,adl.org
Anti-Fascist News,https://mediabiasfactcheck.com/anti-fascist-news,Left,High,US,High,antifascistnews.net
Anti-War,https://mediabiasfactcheck.com/anti-war,Questionable,Mixed,US,Low,antiwar.com
ANX News (American News X,https://mediabiasfactcheck.com/american-news-x,Left,Mixed,US,Medium,anx.media.com
Anxiety and Depression Association of America (ADAA,https://mediabiasfactcheck.com/anxiety-and-depression-association-of-america-adaa,Pro-Science,Very High,US,High,adaa.org
Anya Vien,https://mediabiasfactcheck.com/anya-vien,Conspiracy-Pseudoscience,Very Low,US,Low,anyavien.com
AOL,https://mediabiasfactcheck.com/aol,Center-Left,High,US,High,aol.com
APM Reports,https://mediabiasfactcheck.com/apm-reports,Center-Left,High,US,High,apmreports.org
Apple News,https://mediabiasfactcheck.com/apple-news-bias,Center-Left,Mostly Factual,US,High,apple.com/apple-news
Arc Digital,https://mediabiasfactcheck.com/arc-digital,Center,High,US,High,arcdigital.media
ArcaMax,https://mediabiasfactcheck.com/arcamax,Center-Right,Mostly Factual,US,High,arcamax.com
Archaeology Magazine,https://mediabiasfactcheck.com/archaeology-magazine,Pro-Science,High,US,High,archaeology.org
Architects & Engineers for 9/11 Truth,https://mediabiasfactcheck.com/architects-engineers-for-9-11-truth,Conspiracy-Pseudoscience,Mixed,US,Low,ae911truth.org
Argus Leader,https://mediabiasfactcheck.com/argus-leader,Center-Right,High,US,High,argusleader.com
Arizona Capitol Times,https://mediabiasfactcheck.com/arizona-capitol-times,Center-Left,High,US,High,azcapitoltimes.com
Arizona Daily Independent,https://mediabiasfactcheck.com/arizona-daily-independent,Right,Mixed,US,Medium,arizonadailyindependent.com
Arizona Daily Star,https://mediabiasfactcheck.com/arizona-daily-star,Center-Left,High,US,High,tucson.com
Arizona Daily Sun,https://mediabiasfactcheck.com/arizona-daily-sun,Center-Left,High,US,High,azdailysun.com
Arizona Republic,https://mediabiasfactcheck.com/arizona-republic,Center-Left,High,US,High,azcentral.com
Arkansas Democrat-Gazette,https://mediabiasfactcheck.com/arkansas-democrat-gazette,Center-Right,High,US,High,arkansasonline.com
Arkansas Times,https://mediabiasfactcheck.com/arkansas-times,Center-Left,High,US,High,arktimes.com
Arms Control Association,https://mediabiasfactcheck.com/arms-control-association,Center-Left,High,US,High,armscontrol.org
Armstrong Economics,https://mediabiasfactcheck.com/armstrong-economics,Right,Mixed,US,Medium,armstrongeconomics.com
Army Times,https://mediabiasfactcheck.com/army-times,Center,High,US,High,armytimes.com
Ars Technica,https://mediabiasfactcheck.com/ars-technica,Center,High,US,High,arstechnica.com
As American as Apple Pie,https://mediabiasfactcheck.com/american-apple-pie,Satire,,US,,asamericanasapplepie.org
Asheboro Courier-Tribune,https://mediabiasfactcheck.com/asheboro-courier-tribune,Center,High,US,High,courier-tribune.com
Asheville Citizen-Times,https://mediabiasfactcheck.com/asheville-citizen-times,Center-Left,High,US,High,citizen-times.com
Asia Sentinel,https://mediabiasfactcheck.com/asia-sentinel,Center-Left,Mixed,US,Medium,asiasentinel.com
Aspen Institute,https://mediabiasfactcheck.com/aspen-institute,Center-Left,High,US,High,aspeninstitute.org
Assassination Science,https://mediabiasfactcheck.com/assassination-science,Conspiracy-Pseudoscience,Low,US,Low,assassinationscience.com
Associated Press,https://mediabiasfactcheck.com/associated-press,Center-Left,High,US,High,apnews.com
Association of American Physicians and Surgeons (AAPS,https://mediabiasfactcheck.com/association-of-american-physicians-and-surgeons-aaps,Questionable,Low,US,Low,aapsonline.org
Assyrian International News Agency,https://mediabiasfactcheck.com/assyrian-international-news-agency,Right,Mixed,US,Medium,aina.org
Astronomy Magazine,https://mediabiasfactcheck.com/astronomy-magazine,Pro-Science,Very High,US,High,astronomy.com
Atavist Magazine,https://mediabiasfactcheck.com/atavist-magazine,Center-Left,Very High,US,High,magazine.atavist.com
Athens Banner-Herald,https://mediabiasfactcheck.com/athens-banner-herald-bias,Center-Left,High,US,High,onlineathens.com
Athens Messenger,https://mediabiasfactcheck.com/athens-messenger-bias,Center,High,US,High,athensmessenger.com
Athens Reporter,https://mediabiasfactcheck.com/athens-reporter,Questionable,Mixed,US,Low,athensreporter.com
ATL Standard,https://mediabiasfactcheck.com/atl-standard,Questionable,Mixed,US,Low,atlstandard.com
Atlanta Black Star,https://mediabiasfactcheck.com/atlanta-black-star,Center-Left,Mostly Factual,US,High,atlantablackstar.com
Atlanta Journal-Constitution,https://mediabiasfactcheck.com/atlanta-journal-constitution,Center-Left,High,US,High,ajc.com
Atlantic,https://mediabiasfactcheck.com/the-atlantic,Center-Left,High,US,High,theatlantic.com
Atlantic Council,https://mediabiasfactcheck.com/atlantic-council,Center-Right,High,US,High,atlanticcouncil.org
Atlantic Media,https://mediabiasfactcheck.com/atlantic-media,Center-Left,High,US,High,atlanticmedia.com
Atlas Obscura,https://mediabiasfactcheck.com/atlas-obscura,Center,High,US,High,atlasobscura.com
Attack the System,https://mediabiasfactcheck.com/attack-the-system,Left,Mixed,US,Medium,attackthesystem.com
ATTN,https://mediabiasfactcheck.com/attn,Center-Left,High,US,High,attn.com
