outlet_name_allsides,source_type_allsides,bias_allsides,url_allsides,url_cleaned
ABC 7 KETV,News Media,Center,https://www.allsides.com/news-source/abc-7-ketv-media-bias,ketv.com
ABC 7 KVIA,News Media,Center,https://www.allsides.com/news-source/abc-7-kvia-media-bias,kvia.com
ABC 7 New York,News Media,Center,https://www.allsides.com/news-source/abc-7-new-york-media-bias,abc7ny.com
ABC 7 WXYZ,News Media,Center,https://www.allsides.com/news-source/abc-7-wxyz-media-bias,wxyz.com
ABC 8 KLKN,News Media,Center,https://www.allsides.com/news-source/abc-8-klkn-media-bias,klkntv.com
ABC 8 WRIC,News Media,Center,https://www.allsides.com/news-source/abc-8-wric-media-bias,wric.com
ABC 9 WMUR,News Media,Center,https://www.allsides.com/news-source/abc-9-wmur-media-bias,wmur.com
ABC News (Online,News Media,Center-Left,https://www.allsides.com/news-source/abc-news-media-bias,abcnews.go.com
ABC News 10 Vermont,News Media,Center,https://www.allsides.com/news-source/abc-news-10-vermont-media-bias,news10.com/news/vt-news
ABC13 Houston,News Media,Center,https://www.allsides.com/news-source/abc13-houston-media-bias,abc13.com
ABC4 Utah,News Media,Center,https://www.allsides.com/news-source/ktvx,abc4.com
Aberdeen News,News Media,Center,https://www.allsides.com/news-source/aberdeen-news-media-bias,aberdeennews.com
Above The Law,News Media,Center-Left,https://www.allsides.com/news-source/above-law-media-bias,abovethelaw.com
Abridge News,News Media,Center,https://www.allsides.com/news-source/abridge-news-media-bias,abridgenews.com
Accuracy in Media,Think Tank / Policy Group,Right,https://www.allsides.com/news-source/accuracy-media,aim.org
ACLU,Think Tank / Policy Group,Center-Left,https://www.allsides.com/news-source/american-civil-liberties-union,aclu.org
Action News Jax,News Media,Center,https://www.allsides.com/news-source/action-news-jax-media-bias,actionnewsjax.com
Addison County Independent,News Media,Center,https://www.allsides.com/news-source/addison-county-independent-media-bias,addisonindependent.com
Adventist Today,News Media,Center-Left,https://www.allsides.com/news-source/adventist-today-media-bias,atoday.org
Advocate,News Media,Center-Left,https://www.allsides.com/news-source/advocate-media-bias-0,advocate.com
AFP Fact Check,Fact Check,Left,https://www.allsides.com/news-source/afp-fact-check-media-bias,factcheck.afp.com
AframNews,News Media,Left,https://www.allsides.com/news-source/aframnews-media-bias,aframnews.com
African American Conservatives,News Media,Right,https://www.allsides.com/news-source/african-american-conservatives-media-bias,africanamericanconservatives.com
African American Intellectual History Society,Think Tank / Policy Group,Left,https://www.allsides.com/news-source/african-american-intellectual-history-society-media-bias,aaihs.org
Afro,News Media,Left,https://www.allsides.com/news-source/afro-media-bias,afro.com
Aiken Standard,News Media,Center,https://www.allsides.com/news-source/aiken-standard-media-bias,aikenstandard.com
AJ,News Media,Left,https://www.allsides.com/news-source/aj-media-bias,ajplus.net
Akron Beacon Journal,News Media,Center,https://www.allsides.com/news-source/akron-beacon-journal-media-bias,beaconjournal.com
Al Jazeera,News Media,Center-Left,https://www.allsides.com/news-source/al-jazeera-media-bias,aljazeera.com
AL.com,News Media,Center,https://www.allsides.com/news-source/alcom,al.com
Alabama News Center,News Media,Center,https://www.allsides.com/news-source/alabama-news-center-media-bias,alabamanewscenter.com
Alabama News Network,News Media,Center,https://www.allsides.com/news-source/alabama-news-network-media-bias,alabamanews.net
Alabama Political Reporter,News Media,Center-Left,https://www.allsides.com/news-source/alabama-political-reporter-media-bias,alreporter.com
Alamosa News,News Media,Center,https://www.allsides.com/news-source/alamosa-news-media-bias,alamosanews.com
Alaska Beacon,News Media,Center,https://www.allsides.com/news-source/alaska-beacon-media-bias,alaskabeacon.com
Alaska Commons,News Media,Center,https://www.allsides.com/news-source/alaska-commons-media-bias,alaskacommons.com
Alaska Native News,News Media,Center,https://www.allsides.com/news-source/alaska-native-news-media-bias,alaska-native-news.com
Alaska Public Media,News Media,Center,https://www.allsides.com/news-source/alaska-public-media-media-bias,alaskapublic.org
Alaska Watchman,News Media,Right,https://www.allsides.com/news-source/alaska-watchman-media-bias,alaskawatchman.com
Alaska's News Source KTUU/KYES,News Media,Center,https://www.allsides.com/news-source/alaskas-news-source-ktuukyes-media-bias,alaskasnewssource.com
Albany Democrat-Herald,News Media,Center,https://www.allsides.com/news-source/albany-democrat-herald-media-bias,democratherald.com
Albert Lea Tribune,News Media,Center,https://www.allsides.com/news-source/albert-lea-tribune-media-bias,albertleatribune.com
Albuquerque Journal,News Media,Center,https://www.allsides.com/news-source/albuquerque-journal-media-bias,abqjournal.com
All About Arizona News,News Media,Center,https://www.allsides.com/news-source/all-about-arizona-news-media-bias,allaboutarizonanews.com
Alleghany News,News Media,Center,https://www.allsides.com/news-source/alleghany-news-media-bias,alleghanynews.com
Alliance for Trade Enforcement,Reference,Center,https://www.allsides.com/news-source/alliance-trade-enforcement-media-bias,enforcementalliance.org
AllSides,News Media,Center,https://www.allsides.com/news-source/allsides,allsides.com
Alpha News,News Media,Right,https://www.allsides.com/news-source/alpha-news-media-bias,alphanews.org
AlterNet,News Media,Left,https://www.allsides.com/news-source/alternet-media-bias,alternet.org
Amarillo Globe-News,News Media,Center,https://www.allsides.com/news-source/amarillo-globe-news-media-bias,amarillo.com
America's 1st Freedom,News Media,Center-Right,https://www.allsides.com/news-source/americas-1st-freedom-media-bias,americas1stfreedom.org
American Conservation Coalition,Think Tank / Policy Group,Center-Right,https://www.allsides.com/news-source/american-conservation-coalition-media-bias,acc.eco
American Conservative Union,Think Tank / Policy Group,Right,https://www.allsides.com/news-source/american-conservative-union,conservative.org
American Enterprise Institute,Think Tank / Policy Group,Center-Right,https://www.allsides.com/news-source/american-enterprise-institute,aei.org/research-products/journal-publications
American Greatness,News Media,Right,https://www.allsides.com/news-source/american-greatness-media-bias,amgreatness.com
American Press,News Media,Center-Left,https://www.allsides.com/news-source/american-press,americanpress.com
American Psychological Association,Reference,Center,https://www.allsides.com/news-source/american-psychological-association-media-bias,apa.org
American Thinker,News Media,Right,https://www.allsides.com/news-source/american-thinker,americanthinker.com
American Values Coalition,Think Tank / Policy Group,Center,https://www.allsides.com/news-source/american-values-coalition-media-bias,americanvalues.org
Americans for Democratic Action,Think Tank / Policy Group,Left,https://www.allsides.com/news-source/americans-democratic-action,adaction.org
Americans for Tax Reform,Think Tank / Policy Group,Right,https://www.allsides.com/news-source/americans-tax-reform,atr.org
Ammo.com,Reference,Right,https://www.allsides.com/news-source/ammocom-media-bias,ammo.com
Amnesty International,Think Tank / Policy Group,Center-Left,https://www.allsides.com/news-source/amnesty-international,amnesty.org
Anchorage Daily News,News Media,Center,https://www.allsides.com/news-source/anchorage-daily-news,adn.com
Anchorage Press,News Media,Center,https://www.allsides.com/news-source/anchorage-press-media-bias,anchoragepress.com
Anderson Independent-Mail,News Media,Center,https://www.allsides.com/news-source/anderson-independent-mail-media-bias,independentmail.com
AP-NORC,Reference,Center,https://www.allsides.com/news-source/ap-norc-media-bias,apnorc.org
Apple News,News Media,Center-Left,https://www.allsides.com/news-source/apple-news-media-bias,apple.com/apple-news
Aquinas College Saint,News Media,Left,https://www.allsides.com/news-source/aquinas-college-saint,thesaintaq.com
Arc Digital,News Media,Center,https://www.allsides.com/news-source/arc-digital-media-bias,arcdigital.media
Argus Leader,News Media,Center,https://www.allsides.com/news-source/argus-leader-media-bias,argusleader.com
Arizona Daily Star: tucson.com,News Media,Center,https://www.allsides.com/news-source/arizona-daily-star-tucsoncom-media-bias,tucson.com
Arizona Mirror,News Media,Center,https://www.allsides.com/news-source/arizona-mirror-media-bias,azmirror.com
Arizona's Family,News Media,Center,https://www.allsides.com/news-source/arizonas-family-media-bias,azfamily.com
Ark Valley Voice,News Media,Center,https://www.allsides.com/news-source/ark-valley-voice-media-bias,arkvalleyvoice.com
Arkansas Business,News Media,Center,https://www.allsides.com/news-source/arkansas-business-media-bias,arkansasbusiness.com
Arkansas Democrat-Gazette,News Media,Left,https://www.allsides.com/news-source/arkansas-democrat-gazette,arkansasonline.com
Arkansas Times,News Media,Left,https://www.allsides.com/news-source/arkansas-times-media-bias,arktimes.com
Ars Technica,News Media,Center,https://www.allsides.com/news-source/ars-technica-media-bias,arstechnica.com
Asbury Park Press,News Media,Center,https://www.allsides.com/news-source/asbury-park-press-media-bias,app.com
Associated Press,News Media,Center-Left,https://www.allsides.com/news-source/associated-press-media-bias,apnews.com
Associated Press Fact Check,News Media,Center-Left,https://www.allsides.com/news-source/ap-fact-check-media-bias,apnews.com/hub/ap-fact-check
Association for Psychological Science,Think Tank / Policy Group,Center,https://www.allsides.com/news-source/association-psychological-science,psychologicalscience.org
Atlanta Black Star,News Media,Center-Left,https://www.allsides.com/news-source/atlanta-black-star-media-bias,atlantablackstar.com
Atlanta Journal-Constitution,News Media,Center-Left,https://www.allsides.com/news-source/atlanta-journal-constitution,ajc.com
Atlas Network,Think Tank / Policy Group,Right,https://www.allsides.com/news-source/atlas-network,atlasnetwork.org
AtlasOne,Think Tank / Policy Group,Center-Right,https://www.allsides.com/news-source/atlasone,atlasone.org
Attitude Magazine,News Media,Center-Left,https://www.allsides.com/news-source/attitude-magazine-media-bias,attitude.co.uk
Augusta Free Press,News Media,Center-Left,https://www.allsides.com/news-source/augusta-free-press-media-bias,augustafreepress.com
Austin American-Statesman,News Media,Center-Left,https://www.allsides.com/news-source/austin-american-statesman,mystatesman.com
Austin American-Statesman,News Media,Center,https://www.allsides.com/news-source/austin-american-statesman-media-bias,statesman.com
Austin Daily Herald,News Media,Center,https://www.allsides.com/news-source/austin-daily-herald-media-bias,austindailyherald.com
Avenue News,News Media,Center,https://www.allsides.com/news-source/avenue-news-media-bias,avenuenews.com
Avoyelles Journal,News Media,Center,https://www.allsides.com/news-source/avoyelles-journal-media-bias,avoyellestoday.com
Axios,News Media,Center-Left,https://www.allsides.com/news-source/axios,axios.com
AZ Central,News Media,Center,https://www.allsides.com/news-source/az-central-media-bias,azcentral.com
Babylon Bee (Humor,News Media,Center-Right,https://www.allsides.com/news-source/babylon-bee-media-bias,babylonbee.com
Ballotpedia,Reference,Center,https://www.allsides.com/news-source/ballotpedia,ballotpedia.org
Baltimore Sun,News Media,Center,https://www.allsides.com/news-source/baltimore-sun,baltimoresun.com
Bangor Daily News,News Media,Center-Left,https://www.allsides.com/news-source/bangor-daily-news-media-bias,bangordailynews.com
Baptist News Global,News Media,Center-Left,https://www.allsides.com/news-source/baptist-news-global-media-bias,baptistnews.com
Baptist Press,News Media,Center,https://www.allsides.com/news-source/baptist-press-media-bias,baptistpress.com
Baptist Standard,News Media,Center,https://www.allsides.com/news-source/baptist-standard-media-bias,baptiststandard.com
Barnstable Patriot,News Media,Center,https://www.allsides.com/news-source/barnstable-patriot,barnstablepatriot.com
Barron's,News Media,Center,https://www.allsides.com/news-source/barrons-media-bias,barrons.com
Bartlesville Examiner-Enterprise,News Media,Center,https://www.allsides.com/news-source/bartlesville-examiner-enterprise-media-bias,examiner-enterprise.com
Bay to Bay News,News Media,Center,https://www.allsides.com/news-source/bay-bay-news-media-bias,baytobaynews.com
BBC Fact Check,Fact Check,Center,https://www.allsides.com/news-source/reality-check-bbc-media-bias,bbc.com/news/reality_check
BBC News,News Media,Center,https://www.allsides.com/news-source/bbc-news-media-bias,bbc.com
Bearing Drift,News Media,Right,https://www.allsides.com/news-source/bearing-drift,bearingdrift.com
Beaumont Enterprise,News Media,Center,https://www.allsides.com/news-source/beaumont-enterprise-media-bias,beaumontenterprise.com
Beaver County Times,News Media,Center,https://www.allsides.com/news-source/beaver-county-times-media-bias,timesonline.com
Belleville News-Democrat,News Media,Center,https://www.allsides.com/news-source/belleville-news-democrat-media-bias,bnd.com
Benneson Strategy Group,Reference,Center-Left,https://www.allsides.com/news-source/benneson-strategy-group-and-public-opinion-strategies-media-bias,bsgco.com
Bergen Record (northjersey.com,News Media,Center-Left,https://www.allsides.com/news-source/bergen-record-northjerseycom-media-bias,northjersey.com
BET,News Media,Center-Left,https://www.allsides.com/news-source/bet-media-bias,bet.com
Better Government Association,Think Tank / Policy Group,Center,https://www.allsides.com/news-source/better-government-association-media-bias,bettergov.org
Beyond Today,News Media,Right,https://www.allsides.com/news-source/beyond-today-media-bias,ucg.org/beyond-today
Biblical Gender Roles,News Media,Right,https://www.allsides.com/news-source/biblical-gender-roles-media-bias,biblicalgenderroles.com
Biblical Sexology,News Media,Right,https://www.allsides.com/news-source/biblical-sexology-media-bias,biblicalsexology.com
Big Island Now News,News Media,Center,https://www.allsides.com/news-source/big-island-now-news-media-bias,bigislandnow.com
Billings Gazette,News Media,Center,https://www.allsides.com/news-source/billings-gazette-media-bias,billingsgazette.com
Billings Gazette,News Media,Center,https://www.allsides.com/news-source/billings-gazette-media-bias-0,billingsgazette.com
Bing News,News Media,Center-Left,https://www.allsides.com/news-source/bing-news-media-bias,bing.com/news
Bipartisan Policy Center,Think Tank / Policy Group,Center,https://www.allsides.com/news-source/bipartisan-policy-center-media-bias-0,bipartisanpolicy.org
Birmingham Live,News Media,Center,https://www.allsides.com/news-source/birmingham-live-media-bias,birminghammail.co.uk
Bizpac Review,News Media,Right,https://www.allsides.com/news-source/bizpac-review-media-bias,bizpacreview.com
Black Agenda Report,News Media,Left,https://www.allsides.com/news-source/black-agenda-report-media-bias,blackagendareport.com
Black Community News,News Media,Right,https://www.allsides.com/news-source/black-community-news-media-bias,blackcommunitynews.com
Black Enterprise,News Media,Center-Left,https://www.allsides.com/news-source/black-enterprise-media-bias,blackenterprise.com
Black News,News Media,Left,https://www.allsides.com/news-source/black-news-media-bias,blacknews.com
Black News Channel,News Media,Center-Left,https://www.allsides.com/news-source/black-news-channel-media-bias,bnc.tv
Blavity,News Media,Left,https://www.allsides.com/news-source/blavity-media-bias,blavity.com
Block Club Chicago,News Media,Left,https://www.allsides.com/news-source/book-club-chicago-media-bias,blockclubchicago.org
Bloomberg,News Media,Center-Left,https://www.allsides.com/news-source/bloomberg-media-bias,bloomberg.com
Blue Virginia,News Media,Left,https://www.allsides.com/news-source/blue-virginia,bluevirginia.us
Bluefield Daily Telegraph,News Media,Center,https://www.allsides.com/news-source/bluefield-daily-telegraph-media-bias,bdtonline.com
Bluffton Icon,News Media,Center,https://www.allsides.com/news-source/bluffton-icon-media-bias,blufftonicon.com
Boing Boing,News Media,Left,https://www.allsides.com/news-source/boing-boing,boingboing.net
Boise dev,News Media,Center,https://www.allsides.com/news-source/boise-dev-media-bias,boisedev.com
Boise State Public Radio,News Media,Center,https://www.allsides.com/news-source/boise-state-public-radio-media-bias,boisestatepublicradio.org
Bolts,News Media,Left,https://www.allsides.com/news-source/bolts-media-bias,boltsmag.org
Bonner County Daily Bee,News Media,Center,https://www.allsides.com/news-source/bonner-county-daily-bee-media-bias,bonnercountydailybee.com
Border Report,News Media,Center,https://www.allsides.com/news-source/borderreport-media-bias,borderreport.com
Boston 25 News,News Media,Center,https://www.allsides.com/news-source/boston-25-news-media-bias,boston25news.com
Boston Herald,News Media,Center-Right,https://www.allsides.com/news-source/boston-herald-media-bias,bostonherald.com
Boston Review,News Media,Center-Left,https://www.allsides.com/news-source/boston-review-media-bias,bostonreview.net
Boston.com,News Media,Center,https://www.allsides.com/news-source/bostoncom-media-bias,boston.com
Bowling Green Daily News,News Media,Center-Left,https://www.allsides.com/news-source/bowling-green-daily-news,bgdailynews.com
Box Elder News Journal,News Media,Center,https://www.allsides.com/news-source/box-elder-news-journal-media-bias,benewsjournal.com
Bozeman Daily Chronicle,News Media,Center,https://www.allsides.com/news-source/bozeman-daily-chronicle-media-bias,bozemandailychronicle.com
Braver Angels,Think Tank / Policy Group,Center,https://www.allsides.com/news-source/braver-angels-media-bias,braverangels.org
Breitbart Fact Check,Fact Check,Right,https://www.allsides.com/news-source/breitbart-fact-check-media-bias,breitbart.com/tag/fact-check
Breitbart News,News Media,Right,https://www.allsides.com/news-source/breitbart,breitbart.com
Brendan O'Hare,Humor & Satire,Center-Left,https://www.allsides.com/news-source/brendan-ohare-media-bias,complex.com/author/brendano
Brennan Center for Justice,Think Tank / Policy Group,Center-Left,https://www.allsides.com/news-source/brennan-center-justice-media-bias,brennancenter.org
Bret Weinstein's DarkHorse Podcast,Video,Center,https://www.allsides.com/news-source/bret-weinsteins-darkhorse-podcast-media-bias,youtube.com/c/bretweinsteindarkhorse/playlists
Bridge Alliance,Think Tank / Policy Group,Center-Left,https://www.allsides.com/news-source/bridge-alliance-media-bias,bridgealliance.us
Bridgemi.com,News Media,Center,https://www.allsides.com/news-source/bridgemicom-media-bias,bridgemi.com
Bridging Divides Initiative,Think Tank / Policy Group,Center,https://www.allsides.com/news-source/bridging-divides-initiative-media-bias,bridgingdivides.princeton.edu
Brookings Institution,Think Tank / Policy Group,Center,https://www.allsides.com/news-source/brookings-institute,brookings.edu
Brown Girl Magazine,News Media,Left,https://www.allsides.com/news-source/brown-girl-magazine-media-bias,browngirlmagazine.com
Brownstone Institute,News Media,Right,https://www.allsides.com/news-source/brownstone-institute-media-bias,brownstone.org
Brush News-Tribune,News Media,Center,https://www.allsides.com/news-source/brush-news-tribune-media-bias,brushnewstribune.com
Burlington County Times,News Media,Center,https://www.allsides.com/news-source/burlington-county-times-media-bias,burlingtoncountytimes.com
Burlington Free Press,News Media,Center,https://www.allsides.com/news-source/burlington-free-press-media-bias,burlingtonfreepress.com
Business Insider,News Media,Center-Left,https://www.allsides.com/news-source/insider-media-bias,insider.com
Business View Caribbean,News Media,Center,https://www.allsides.com/news-source/business-view-caribbean-media-bias,businessviewcaribbean.com
Bustle,News Media,Center-Left,https://www.allsides.com/news-source/bustle,bustle.com
Butler Radio,News Media,Center,https://www.allsides.com/news-source/butler-radio-media-bias,butlerradio.com
BuzzFeed News,News Media,Left,https://www.allsides.com/news-source/buzzfeed-media-bias,buzzfeednews.com
Byron Donalds,News Media,Center-Right,https://www.allsides.com/news-source/byron-donalds-media-bias,byrondonalds.com
C-SPAN,News Media,Center,https://www.allsides.com/news-source/c-span,c-span.org
California 18,News Media,Center,https://www.allsides.com/news-source/california-18-media-bias,california18.com
California Examiner,News Media,Center,https://www.allsides.com/news-source/california-examiner-media-bias,californiaexaminer.net
California Globe,News Media,Center,https://www.allsides.com/news-source/california-globe-media-bias,californiaglobe.com
CalMatters,News Media,Center,https://www.allsides.com/news-source/calmatters,calmatters.org
CalWatchdog,News Media,Center,https://www.allsides.com/news-source/calwatchdog,calwatchdog.com
Cape Cod Times,News Media,Center,https://www.allsides.com/news-source/cape-cod-times-media-bias,capecodtimes.com
Cape Gazette,News Media,Center,https://www.allsides.com/news-source/cape-gazette-media-bias,capegazette.com
Capecod.com,News Media,Center,https://www.allsides.com/news-source/capecodcom-media-bias,capecod.com
Capital & Main,News Media,Center-Left,https://www.allsides.com/news-source/capital-main-media-bias,capitalandmain.com
Capital Gazette,News Media,Center,https://www.allsides.com/news-source/capital-gazette-media-bias,capitalgazette.com
Capital Research Center,Think Tank / Policy Group,Center-Right,https://www.allsides.com/news-source/capital-research-center-media-bias,capitalresearch.org
Capitol Beat,News Media,Center,https://www.allsides.com/news-source/capitol-beat-media-bias,capitol-beat.org
Capitol Weekly,News Media,Center,https://www.allsides.com/news-source/capitol-weekly-media-bias-0,capitolweekly.net
Cardinal News,News Media,Center,https://www.allsides.com/news-source/cardinal-news-media-bias,cardinalnews.org
Care2,News Media,Left,https://www.allsides.com/news-source/care-2,care2.com
Carlsbad Current-Argus,News Media,Center,https://www.allsides.com/news-source/carlsbad-current-argus-media-bias,currentargus.com
Carnegie Endowment for International Peace,Think Tank / Policy Group,Center,https://www.allsides.com/news-source/carnegie-endowment-international-peace,carnegieendowment.org
Carriage Towne News,News Media,Center,https://www.allsides.com/news-source/carriage-towne-news,carriagetownenews.com
Casper Star-Tribune,News Media,Center,https://www.allsides.com/news-source/casper-star-tribune-media-bias,trib.com
Catholic Digest,News Media,Center-Right,https://www.allsides.com/news-source/catholic-digest-media-bias,catholicdigest.com
Catholic News Agency,News Media,Right,https://www.allsides.com/news-source/catholic-news-agency-media-bias,catholicnewsagency.com
Catholic News Service,News Media,Center,https://www.allsides.com/news-source/catholic-news-service-media-bias,catholicnews.com
Cato Institute,Think Tank / Policy Group,Center-Right,https://www.allsides.com/news-source/cato-institute,cato.org
CBC News,News Media,Center-Left,https://www.allsides.com/news-source/cbc-news-media-bias,cbc.ca
CBN,News Media,Right,https://www.allsides.com/news-source/cbn,www1.cbn.com
CBS 17,News Media,Center,https://www.allsides.com/news-source/cbs-17-media-bias,cbs17.com
CBS 3 WWMT,News Media,Center-Left,https://www.allsides.com/news-source/cbs-3-wwmt-media-bias,wwmt.com
CBS 4 KDBC,News Media,Center,https://www.allsides.com/news-source/cbs-4-kdbc-media-bias,cbs4local.com
CBS 58,News Media,Center,https://www.allsides.com/news-source/cbs-58-media-bias,cbs58.com
CBS 7 Midland,News Media,Center,https://www.allsides.com/news-source/cbs-7-midland-media-bias,cbs7.com
CBS Austin KEYE,News Media,Center,https://www.allsides.com/news-source/cbs-austin-keye-media-bias,cbsaustin.com
CBS News (Online,News Media,Center-Left,https://www.allsides.com/news-source/cbs-news-media-bias,cbsnews.com
Cecil Whig,News Media,Center,https://www.allsides.com/news-source/cecil-whig-media-bias,cecildaily.com
Center For American Progress,Think Tank / Policy Group,Center-Left,https://www.allsides.com/news-source/center-american-progress,americanprogress.org
Center for Countering Digital Hate,Think Tank / Policy Group,Left,https://www.allsides.com/news-source/center-countering-digital-hate-media-bias,counterhate.com
Center for Defense Information,,Center-Left,https://www.allsides.com/news-source/center-defense-information,pogo.org/projects-and-partnerships
Center for Media & Democracy PR Watch,Think Tank / Policy Group,Center-Left,https://www.allsides.com/news-source/center-media-democracy-pr-watch,prwatch.org
Center for Public Integrity,News Media,Center-Left,https://www.allsides.com/news-source/center-public-integrity,publicintegrity.org
Center for Responsive Politics,,Center-Left,https://www.allsides.com/news-source/center-responsive-politics,opensecrets.org
Center for Strategic and Budgetary Assessments,Think Tank / Policy Group,Center-Right,https://www.allsides.com/news-source/cent-strategic-and-budgetary-assessments,csbaonline.org
Center for Strategic and International Studies,,Center,https://www.allsides.com/news-source/center-strategic-and-international-studies,csis.org
Center on Budget and Policy Priorities,Think Tank / Policy Group,Left,https://www.allsides.com/news-source/center-budget-and-policy-priorities-0,cbpp.org
Center Post Dispatch,News Media,Center,https://www.allsides.com/news-source/center-post-dispatch-media-bias,centerpostdispatch.com
Central Jersey News,News Media,Center,https://www.allsides.com/news-source/central-jersey-news-media-bias,centraljersey.com
Central Maine Morning Sentinel,News Media,Center,https://www.allsides.com/news-source/central-maine-morning-sentinel-media-bias,centralmaine.com
Central News Channel Nebraska,News Media,Center,https://www.allsides.com/news-source/central-news-channel-nebraska-media-bias,central.newschannelnebraska.com
Centre View,News Media,Center-Left,https://www.allsides.com/news-source/centre-view,centre-view.com
Cerritos Community News,News Media,Center-Left,https://www.allsides.com/news-source/cerritos-community-news-media-bias,loscerritosnews.net
Chalkbeat,News Media,Center,https://www.allsides.com/news-source/chalkbeat-media-bias,chalkbeat.org
Chalkbeat Chicago,News Media,Center,https://www.allsides.com/news-source/chalkbeat-chicago-media-bias,chicago.chalkbeat.org
Channel 3000,News Media,Center,https://www.allsides.com/news-source/channel-3000-media-bias,channel3000.com
Channel 4 News (UK,News Media,Center-Left,https://www.allsides.com/news-source/channel-4-news-uk-media-bias,channel4.com/news
Charisma Magazine,News Media,Right,https://www.allsides.com/news-source/charisma-magazine-media-bias,charismamag.com
Charleston City Paper,News Media,Center,https://www.allsides.com/news-source/charleston-city-paper-media-bias,charlestoncitypaper.com
Chattanooga Times Free Press,News Media,Center,https://www.allsides.com/news-source/chattanooga-times-free-press-media-bias,timesfreepress.com
Check Your Fact,Fact Check,Center,https://www.allsides.com/news-source/check-your-fact-media-bias,checkyourfact.com
Chicago Booth Initiative on Global Markets,Reference,Center,https://www.allsides.com/news-source/chicago-booth,igmchicago.org
Chicago Crusader,News Media,Left,https://www.allsides.com/news-source/chicago-crusader-media-bias,chicagocrusader.com
Chicago Defender,News Media,Left,https://www.allsides.com/news-source/chicago-defender-media-bias,chicagodefender.com
Chicago Sun-Times,News Media,Center-Left,https://www.allsides.com/news-source/chicago-sun-times,chicago.suntimes.com
Chicago Tribune,News Media,Center,https://www.allsides.com/news-source/chicago-tribune,chicagotribune.com
Children’s Defense Fund,Think Tank / Policy Group,Left,https://www.allsides.com/news-source/childrens-defense-fund,childrensdefense.org
Christian Coalition,,Center-Right,https://www.allsides.com/news-source/christian-coalition,cc.org
Christian Coalition of America,News Media,Center-Right,https://www.allsides.com/news-source/christian-coalition-america-media-bias,cc.org
Christian Headlines,News Media,Center,https://www.allsides.com/news-source/christian-headlines-media-bias,christianheadlines.com
Christian News Network,News Media,Right,https://www.allsides.com/news-source/christian-news-network-media-bias,christiannews.net
Christian News Now,News Media,Center-Right,https://www.allsides.com/news-source/christian-news-now-media-bias,christiannewsnow.com
Christian Science Monitor,News Media,Center,https://www.allsides.com/news-source/christian-science-monitor,csmonitor.com
Christianity Today,News Media,Center,https://www.allsides.com/news-source/christianity-today-media-bias,christianitytoday.com
CHS Capitol Hill Seattle News,News Media,Center,https://www.allsides.com/news-source/chs-capitol-hill-seattle-news-media-bias,capitolhillseattle.com
